trade_id,symbol,side,qty,price,notional,account,exec_time,settle_date,exec_broker,customer_type
T20250901-000000,BAC,SELL,2000,157.82,315640.0,FND1011,2025-09-01T17:42:03,2025-09-03,NITE,INTRODUCING
T20250901-000001,UNH,SELL,300,436.47,130941.0,FND1040,2025-09-01T17:22:05,2025-09-03,NITE,INTRODUCING
T20250901-000002,AAPL,BUY,2000,393.07,786140.0,FND1056,2025-09-01T17:58:14,2025-09-03,CDEL,SELF_CLEAR
T20250901-000003,UNH,BUY,300,210.8,63240.0,FND1054,2025-09-01T18:57:08,2025-09-03,CDEL,SELF_CLEAR
T20250901-000004,BAC,SELL,100,222.7,22270.0,FND1057,2025-09-01T17:46:01,2025-09-03,JPMC,SELF_CLEAR
T20250901-000005,XOM,BUY,2000,205.48,410960.0,FND1013,2025-09-01T19:55:15,2025-09-03,JPMC,SELF_CLEAR
T20250901-000006,NVDA,BUY,1500,306.59,459885.0,FND1035,2025-09-01T17:08:40,2025-09-03,JPMC,INTRODUCING
T20250901-000007,GOOGL,SELL,100,456.86,45686.0,FND1017,2025-09-01T19:33:48,2025-09-03,GSCO,INTRODUCING
T20250901-000008,BRK.B,BUY,1500,106.13,159195.0,FND1047,2025-09-01T17:54:50,2025-09-03,BAML,SELF_CLEAR
T20250901-000009,BRK.B,BUY,500,252.07,126035.0,FND1037,2025-09-01T17:29:23,2025-09-03,MSCO,SELF_CLEAR
T20250901-000010,BRK.B,BUY,200,35.27,7054.0,FND1019,2025-09-01T17:31:52,2025-09-03,JPMC,INTRODUCING
T20250901-000011,NVDA,SELL,1500,498.18,747270.0,FND1034,2025-09-01T20:37:14,2025-09-03,NITE,SELF_CLEAR
T20250901-000012,XOM,BUY,2000,156.06,312120.0,FND1031,2025-09-01T18:28:23,2025-09-03,UBSW,INTRODUCING
T20250901-000013,BAC,SELL,100,488.89,48889.0,FND1014,2025-09-01T18:55:28,2025-09-03,UBSW,SELF_CLEAR
T20250901-000014,AAPL,SELL,100,444.72,44472.0,FND1037,2025-09-01T20:14:49,2025-09-03,CDEL,SELF_CLEAR
T20250901-000015,GOOGL,BUY,300,222.12,66636.0,FND1005,2025-09-01T18:46:42,2025-09-03,CDEL,SELF_CLEAR
T20250901-000016,UNH,BUY,500,240.56,120280.0,FND1008,2025-09-01T18:41:13,2025-09-03,BAML,INTRODUCING
T20250901-000017,JPM,SELL,2000,168.02,336040.0,FND1006,2025-09-01T18:46:06,2025-09-03,NITE,SELF_CLEAR
T20250901-000018,NVDA,BUY,2000,59.31,118620.0,FND1053,2025-09-01T20:52:19,2025-09-03,CDEL,SELF_CLEAR
T20250901-000019,TSLA,BUY,500,483.02,241510.0,FND1003,2025-09-01T20:10:14,2025-09-03,JPMC,INTRODUCING
T20250901-000020,XOM,SELL,500,457.81,228905.0,FND1021,2025-09-01T20:38:00,2025-09-03,NITE,SELF_CLEAR
